date,mean_demand,max_demand,min_demand
2019-12-15,27147.333333333332,32633,24358
2019-12-16,29562.916666666668,33786,25220
2019-12-17,31353.833333333332,37027,26170
2019-12-18,31672.041666666668,36954,26074
2019-12-19,31282.041666666668,36979,26654
2019-12-20,27329.666666666668,36126,5719
2019-12-21,30364.208333333332,35172,25144
2019-12-22,29321.791666666668,33370,24250
2019-12-23,29886.625,33296,24637
2019-12-24,29823.708333333332,35634,25429
2019-12-25,27543.583333333332,33125,24441
2019-12-26,28662.333333333332,31134,24714
2019-12-27,29951.875,35796,26131
2019-12-28,28598.041666666668,34747,25040
2019-12-29,27750.125,33078,24620
2019-12-30,28856.416666666668,33337,24184
2019-12-31,28952.666666666668,34943,24695
2020-01-01,26707.708333333332,32928,23376
2020-01-02,27314.208333333332,30649,23332
2020-01-03,28569.458333333332,33826,24084
2020-01-04,27316.875,33285,23878
2020-01-05,26230.625,31368,23601
2020-01-06,27902.875,31867,23562
2020-01-07,28993.208333333332,33956,24017
2020-01-08,29167.875,34308,23940
2020-01-09,29287.083333333332,34027,24046
2020-01-10,29264.333333333332,34526,25049
2020-01-11,27441.125,33518,23915
2020-01-12,26370.458333333332,31334,23752
2020-01-13,28041.416666666668,31946,23781
2020-01-14,29067.708333333332,34489,24232
2020-01-15,29468.5,34560,24789
2020-01-16,30269.791666666668,34916,25057
2020-01-17,30146.625,35846,25236
2020-01-18,28321.916666666668,34331,24890
2020-01-19,27032.416666666668,31817,24203
2020-01-20,28646.458333333332,31743,23572
2020-01-21,29686.625,34811,24104
2020-01-22,29286.25,34763,24250
2020-01-23,29208.5,33884,24758
2020-01-24,28837.166666666668,33875,24162
2020-01-25,26944.666666666668,32943,23258
2020-01-26,26013.5,31033,23051
2020-01-27,27740.458333333332,31374,23591
2020-01-28,28925.458333333332,34076,24775
2020-01-29,28882.416666666668,34063,24566
2020-01-30,29122.166666666668,34291,24455
2020-01-31,28894.25,34034,24579
2020-02-01,27205.916666666668,33169,24052
2020-02-02,25973.875,31366,23419
2020-02-03,27943.5,32221,24295
2020-02-04,30307.916666666668,35829,26482
2020-02-05,30712.291666666668,36113,26802
2020-02-06,29971.458333333332,35331,25962
2020-02-07,29286.125,34236,25409
2020-02-08,27562.833333333332,33462,24031
2020-02-09,26228.458333333332,31260,23858
2020-02-10,28489.25,32147,25002
2020-02-11,29325.0,34673,25394
2020-02-12,28953.041666666668,34399,24734
2020-02-13,29037.791666666668,33910,25067
2020-02-14,28815.875,33752,25163
2020-02-15,26886.708333333332,32957,23168
2020-02-16,25236.083333333332,30506,21873
2020-02-17,26042.875,30431,23248
2020-02-18,27937.375,33133,23796
2020-02-19,28331.125,33831,24555
2020-02-20,28320.625,33890,24195
2020-02-21,28423.0,33809,23951
2020-02-22,26963.208333333332,33202,23239
2020-02-23,25147.333333333332,30760,22434
2020-02-24,26929.625,30884,23353
2020-02-25,28122.708333333332,33793,24028
2020-02-26,28125.041666666668,33848,23540
2020-02-27,28371.041666666668,33691,23854
2020-02-28,28643.166666666668,34061,23777
2020-02-29,26617.5,33490,23109
2020-03-01,25171.541666666668,30546,22663
2020-03-02,27342.208333333332,31447,23468
2020-03-03,28435.375,34033,24453
2020-03-04,28355.583333333332,33964,24251
2020-03-05,28491.041666666668,34034,24180
2020-03-06,28455.208333333332,34255,24229
2020-03-07,26943.791666666668,33075,23431
2020-03-08,25520.75,30878,22928
2020-03-09,27398.375,31205,23714
2020-03-10,28948.958333333332,33262,24001
2020-03-11,28500.583333333332,33275,23990
2020-03-12,28844.541666666668,33279,23492
2020-03-13,28965.291666666668,33599,24269
2020-03-14,27236.375,32514,23920
2020-03-15,25799.5,31040,22736
2020-03-16,28011.583333333332,31073,23429
2020-03-17,28484.458333333332,33505,24304
2020-03-18,28771.541666666668,32477,24994
2020-03-19,27976.625,32133,24768
2020-03-20,27207.208333333332,31902,24088
2020-03-21,25526.583333333332,30873,22494
2020-03-22,24251.291666666668,29470,21407
2020-03-23,25766.625,29313,22761
2020-03-24,26611.708333333332,30711,23139
2020-03-25,26250.375,30642,23058
2020-03-26,26041.958333333332,30677,23373
2020-03-27,26029.125,30754,22999
2020-03-28,24889.875,29926,22928
2020-03-29,23633.375,28950,21296
2020-03-30,24749.291666666668,28625,22336
2020-03-31,25620.208333333332,29926,22481
2020-04-01,25177.375,29906,22509
2020-04-02,25183.416666666668,30094,22449
2020-04-03,24686.0,29662,22001
2020-04-04,24181.333333333332,29285,21783
2020-04-05,24131.625,28562,21496
2020-04-06,25732.333333333332,28603,22197
2020-04-07,26130.5,30570,23049
2020-04-08,26106.541666666668,30213,22744
2020-04-09,26461.166666666668,30158,22806
2020-04-10,25696.875,29871,22575
2020-04-11,23519.583333333332,29132,19871
2020-04-12,22642.375,27731,20856
2020-04-13,23892.666666666668,27558,20954
2020-04-14,24190.583333333332,29179,21739
2020-04-15,24518.458333333332,29807,21947
2020-04-16,24557.833333333332,29844,21563
2020-04-17,24965.5,29882,21827
2020-04-18,23889.125,29094,21499
2020-04-19,22613.666666666668,28042,19454
2020-04-20,24226.875,27879,21219
2020-04-21,24554.291666666668,29271,21630
2020-04-22,25130.458333333332,29938,22626
2020-04-23,26808.791666666668,32043,23071
2020-04-24,28236.291666666668,33878,23032
2020-04-25,28909.666666666668,37672,23307
2020-04-26,27266.916666666668,36751,21749
2020-04-27,27650.75,33528,22884
2020-04-28,29206.666666666668,34941,24422
2020-04-29,30269.125,38275,24460
2020-04-30,28741.625,34317,24527
2020-05-01,27723.625,33958,23924
2020-05-02,26070.875,32365,22668
2020-05-03,24742.5,31372,20808
2020-05-04,26289.583333333332,30690,22667
2020-05-05,28762.291666666668,34324,23620
2020-05-06,30344.833333333332,37530,24788
2020-05-07,31419.166666666668,39341,24927
2020-05-08,31973.583333333332,41055,25233
2020-05-09,29907.708333333332,40127,24381
2020-05-10,27385.166666666668,35589,23295
2020-05-11,27447.458333333332,31647,23320
2020-05-12,27750.583333333332,32752,23909
2020-05-13,27105.208333333332,31772,23788
2020-05-14,27012.125,31945,23754
2020-05-15,27245.208333333332,32377,24321
2020-05-16,26825.625,33019,23538
2020-05-17,26331.125,32835,22442
2020-05-18,27048.416666666668,31431,23554
2020-05-19,26343.125,31123,23317
2020-05-20,26181.583333333332,30949,23551
2020-05-21,27124.125,32056,23452
2020-05-22,28155.0,34490,24053
2020-05-23,25903.041666666668,32593,22319
2020-05-24,25211.75,31384,21414
2020-05-25,27967.791666666668,34983,23506
2020-05-26,33506.208333333336,44161,25541
2020-05-27,36550.416666666664,46901,27311
2020-05-28,35746.583333333336,47114,27574
2020-05-29,33725.166666666664,44209,26892
2020-05-30,29169.458333333332,36313,25262
2020-05-31,26711.916666666668,32170,22944
2020-06-01,29324.958333333332,34693,24652
2020-06-02,32314.791666666668,40005,26041
2020-06-03,35822.166666666664,47741,27195
2020-06-04,37235.916666666664,49934,27738
2020-06-05,33576.208333333336,45060,27444
2020-06-06,27377.5,32967,24539
2020-06-07,25161.375,31079,21756
2020-06-08,27014.25,30660,24063
2020-06-09,30811.666666666668,39054,25346
2020-06-10,35114.291666666664,45521,26912
2020-06-11,36894.041666666664,48466,27928
2020-06-12,34030.625,46211,26897
2020-06-13,28639.333333333332,35446,25253
2020-06-14,26963.833333333332,32734,23473
2020-06-15,30302.625,35623,24696
2020-06-16,30983.791666666668,38141,26097
2020-06-17,30565.875,36131,25689
2020-06-18,31726.875,37797,25872
2020-06-19,32535.291666666668,40089,26463
2020-06-20,31359.833333333332,40398,25964
2020-06-21,30125.041666666668,37552,25097
2020-06-22,32903.458333333336,41646,26035
2020-06-23,35558.708333333336,45158,27624
2020-06-24,35860.166666666664,45737,27730
2020-06-25,35890.208333333336,45789,28187
2020-06-26,35564.166666666664,44546,27595
2020-06-27,34593.333333333336,45563,27323
2020-06-28,30414.666666666668,41286,25190
2020-06-29,29584.458333333332,33104,25268
2020-06-30,31740.625,37527,26106
2020-07-01,32935.75,41076,26616
2020-07-02,32639.458333333332,40568,26721
2020-07-03,31356.5,39851,25869
2020-07-04,31894.708333333332,41158,25023
2020-07-05,32377.416666666668,42223,24770
2020-07-06,35259.0,45214,26682
2020-07-07,35558.916666666664,46605,27329
2020-07-08,35478.666666666664,45535,27475
2020-07-09,35839.083333333336,46052,27599
2020-07-10,37472.375,47842,28273
2020-07-11,38515.125,50178,28256
2020-07-12,38173.5,51271,27279
2020-07-13,39972.875,51543,29605
2020-07-14,37471.875,49837,28978
2020-07-15,36163.125,45916,28965
2020-07-16,35511.333333333336,45001,27902
2020-07-17,35371.333333333336,44459,27888
2020-07-18,34334.916666666664,44542,27288
2020-07-19,33677.666666666664,45218,26281
2020-07-20,34554.625,42515,27292
2020-07-21,35391.708333333336,44763,27766
2020-07-22,34655.583333333336,44199,27674
2020-07-23,33489.666666666664,41992,26979
2020-07-24,33546.5,41744,27124
2020-07-25,32799.75,41849,27009
2020-07-26,32548.708333333332,41941,25795
2020-07-27,34902.75,43125,27414
2020-07-28,35514.5,45766,27551
2020-07-29,35808.791666666664,46241,27689
2020-07-30,36434.791666666664,46375,28067
2020-07-31,38221.666666666664,48898,28778
2020-08-01,36822.333333333336,50029,28006
2020-08-02,34739.208333333336,46594,26514
2020-08-03,36474.666666666664,46385,27428
2020-08-04,36854.041666666664,48739,28438
2020-08-05,34878.291666666664,44905,27789
2020-08-06,33159.791666666664,40618,27085
2020-08-07,33430.208333333336,40764,26974
2020-08-08,33286.541666666664,42947,26731
2020-08-09,32887.125,43371,25556
2020-08-10,35782.291666666664,44803,27354
2020-08-11,35952.125,46972,27700
2020-08-12,36175.625,46185,27837
2020-08-13,39130.208333333336,50630,29470
2020-08-14,42434.958333333336,56324,31076
2020-08-15,44223.708333333336,57530,32247
2020-08-16,43092.25,55898,32214
2020-08-17,44549.25,55893,33246
2020-08-18,45476.041666666664,58095,33366
2020-08-19,46141.541666666664,58099,34818
2020-08-20,43686.333333333336,56760,32977
2020-08-21,42247.416666666664,53741,32195
2020-08-22,41120.625,52269,31831
2020-08-23,39684.25,51239,30046
2020-08-24,41960.833333333336,52785,32525
2020-08-25,41409.5,53430,31202
2020-08-26,40542.5,52112,30682
2020-08-27,39416.666666666664,50800,29538
2020-08-28,38813.0,50531,29172
2020-08-29,35463.583333333336,47790,28344
2020-08-30,32653.541666666668,42804,26798
2020-08-31,34573.916666666664,42696,27188
2020-09-01,35081.916666666664,44135,27853
2020-09-02,34672.041666666664,42895,27619
2020-09-03,35314.583333333336,44686,27302
2020-09-04,37304.25,48487,28383
2020-09-05,39605.791666666664,54224,29820
2020-09-06,43787.666666666664,57095,31560
2020-09-07,43481.0,58097,32681
2020-09-08,39869.708333333336,52094,30805
2020-09-09,35766.083333333336,43514,28491
2020-09-10,33552.708333333336,41114,26508
2020-09-11,32087.0,38046,25586
2020-09-12,31580.25,39132,26346
2020-09-13,30503.333333333332,37905,25152
2020-09-14,32788.708333333336,41465,26025
2020-09-15,34524.208333333336,43608,26699
2020-09-16,35010.291666666664,44808,26597
2020-09-17,35607.0,46487,26923
2020-09-18,36033.291666666664,46524,27293
2020-09-19,34399.416666666664,46229,26790
2020-09-20,31764.916666666668,42194,25690
2020-09-21,33396.208333333336,42135,25860
2020-09-22,34434.583333333336,43801,26563
2020-09-23,34311.791666666664,43936,26742
2020-09-24,34876.208333333336,43753,27070
2020-09-25,34175.083333333336,44630,26704
2020-09-26,32084.666666666668,41221,26096
2020-09-27,31787.041666666668,39548,26253
2020-09-28,35425.333333333336,48463,26899
2020-09-29,37374.416666666664,49573,27440
2020-09-30,38480.083333333336,52105,27704
2020-10-01,39657.5,53248,28324
2020-10-02,38978.291666666664,53504,28052
2020-10-03,35909.041666666664,51216,26817
2020-10-04,33290.833333333336,46078,25468
2020-10-05,34274.416666666664,44336,25846
2020-10-06,34321.875,45758,25980
2020-10-07,33342.166666666664,42568,26039
2020-10-08,31904.583333333332,40388,19988
2020-10-09,30744.791666666668,36484,25512
2020-10-10,29136.791666666668,34965,24911
2020-10-11,27709.0,33355,24154
2020-10-12,30243.75,40494,24065
2020-10-13,33930.375,44415,25769
2020-10-14,34766.958333333336,45201,25608
2020-10-15,35322.125,46195,26262
2020-10-16,35815.708333333336,46514,27294
2020-10-17,33332.041666666664,46372,26173
2020-10-18,30860.166666666668,41110,24949
2020-10-19,31869.958333333332,38651,25145
2020-10-20,31805.583333333332,39793,25376
2020-10-21,31653.291666666668,38602,25338
2020-10-22,30954.708333333332,37939,25185
2020-10-23,29832.958333333332,34795,25115
2020-10-24,27955.333333333332,33350,24352
2020-10-25,26327.833333333332,31051,23167
2020-10-26,26623.541666666668,30186,23311
2020-10-27,27171.833333333332,31549,22822
2020-10-28,27784.583333333332,32615,23151
2020-10-29,28250.625,32848,23361
2020-10-30,28520.333333333332,33625,23735
2020-10-31,27045.833333333332,33195,23285
2020-11-01,25731.958333333332,31082,22360
2020-11-02,27598.75,32337,22320
2020-11-03,28929.291666666668,34956,23999
2020-11-04,29103.25,34745,24151
